alg time sample
compareDuplicateFor 388233 678
compareDuplicateFor 491773 764
compareDuplicateFor 738748 887
compareDuplicateFor 750903 891
compareDuplicateFor 1105305 1143
compareDuplicateFor 1217174 1270
compareDuplicateFor 1232909 1289
compareDuplicateFor 3156162 2118
compareDuplicateFor 4289383 2470
compareDuplicateFor 4359282 2482
compareDuplicateFor 5288751 2684
compareDuplicateFor 10291110 3715
compareDuplicateFor 11921907 3917
compareDuplicateFor 14893173 4383
compareDuplicateFor 15517705 4383
compareDuplicateFor 17965760 4754
compareDuplicateFor 20487527 4914
compareDuplicateFor 19266778 4923
compareDuplicateFor 25234323 5570
compareDuplicateFor 30426770 6081
compareDuplicateFor 32174113 6245
compareDuplicateFor 34809216 6511
compareDuplicateFor 40073341 6975
compareDuplicateFor 48411083 7539
compareDuplicateFor 51688444 7634
compareDuplicateFor 57159774 7686
compareDuplicateFor 51207487 7748
compareDuplicateFor 60923117 8238
compareDuplicateFor 62563283 8583
compareDuplicateFor 63359307 8628
compareDuplicateFor 64338024 8701
compareDuplicateFor 68158808 8741
compareDuplicateFor 67519644 8961
compareDuplicateFor 75848524 9185
compareDuplicateFor 76336126 9279
compareDuplicateFor 75064020 9289
compareDuplicateFor 85492504 9610
compareDuplicateFor 82030468 9626
compareDuplicateFor 89246385 10096
compareDuplicateFor 91622221 10308
compareDuplicateFor 95854429 10764
compareDuplicateFor 99824160 11037
compareDuplicateFor 121930518 12803
compareDuplicateFor 126464611 13160
compareDuplicateFor 124390028 13183
compareDuplicateFor 129458316 13239
compareDuplicateFor 127793240 13325
compareDuplicateFor 134328367 13660
compareDuplicateFor 145942316 13980
compareDuplicateFor 139908757 14030
compareDuplicateFor 147082745 14244
compareDuplicateFor 157673022 14807
compareDuplicateFor 180031133 15525
compareDuplicateFor 183942427 16018
compareDuplicateFor 198611821 16262
compareDuplicateFor 202852426 16710
compareDuplicateFor 201781559 16859
compareDuplicateFor 202836438 16928
compareDuplicateFor 212006988 17181
compareDuplicateFor 216410255 17406
compareDuplicateFor 246907273 18201
compareDuplicateFor 234850214 18278
compareDuplicateFor 239867838 18321
compareDuplicateFor 256268900 19050
compareDuplicateFor 261093556 19313
compareDuplicateFor 263899904 19355
compareDuplicateFor 268931228 19582
compareDuplicateFor 310638732 20497
compareDuplicateFor 302437741 20596
compareDuplicateFor 292821148 20654
compareDuplicateFor 322342698 21203
compareDuplicateFor 376420540 22849
compareDuplicateFor 385560368 23349
compareDuplicateFor 394700879 23403
compareDuplicateFor 394285688 23620
compareDuplicateFor 427344641 23811
compareDuplicateFor 422197731 24286
compareDuplicateFor 442298489 24732
compareDuplicateFor 460040090 25318
compareDuplicateFor 489892889 25909
compareDuplicateFor 500206788 26226
compareDuplicateFor 505913731 26404
compareDuplicateFor 536334122 27060
compareDuplicateFor 594136853 28253
compareDuplicateFor 587221532 28265
compareDuplicateFor 597469331 28267
compareDuplicateFor 589875731 28327
compareDuplicateFor 619362904 28660
compareDuplicateFor 637417398 28772
compareDuplicateFor 630683439 29123
compareDuplicateFor 662637839 29128
compareDuplicateFor 670957874 29323
compareDuplicateFor 687385699 29558
compareDuplicateFor 673627982 29620
compareDuplicateFor 665995424 29905
compareDuplicateFor 663291129 30028
compareDuplicateFor 690861822 30283
compareDuplicateFor 686512452 30333
compareDuplicateFor 746384687 31445
compareDuplicateFor 825836577 31724
compareDuplicateSet 15146 678
compareDuplicateSet 9407 764
compareDuplicateSet 15839 887
compareDuplicateSet 15987 891
compareDuplicateSet 16230 1143
compareDuplicateSet 92937 1270
compareDuplicateSet 24940 1289
compareDuplicateSet 39360 2118
compareDuplicateSet 36341 2470
compareDuplicateSet 35519 2482
compareDuplicateSet 37183 2684
compareDuplicateSet 69681 3715
compareDuplicateSet 132594 3917
compareDuplicateSet 75401 4383
compareDuplicateSet 78285 4383
compareDuplicateSet 295439 4754
compareDuplicateSet 77027 4914
compareDuplicateSet 352600 4923
compareDuplicateSet 528020 5570
compareDuplicateSet 101773 6081
compareDuplicateSet 153517 6245
compareDuplicateSet 172596 6511
compareDuplicateSet 144734 6975
compareDuplicateSet 183921 7539
compareDuplicateSet 161467 7634
compareDuplicateSet 151781 7686
compareDuplicateSet 180250 7748
compareDuplicateSet 155234 8238
compareDuplicateSet 177718 8583
compareDuplicateSet 221851 8628
compareDuplicateSet 179907 8701
compareDuplicateSet 182410 8741
compareDuplicateSet 202096 8961
compareDuplicateSet 658914 9185
compareDuplicateSet 190907 9279
compareDuplicateSet 403417 9289
compareDuplicateSet 258869 9610
compareDuplicateSet 182420 9626
compareDuplicateSet 206364 10096
compareDuplicateSet 321802 10308
compareDuplicateSet 196198 10764
compareDuplicateSet 231410 11037
compareDuplicateSet 393720 12803
compareDuplicateSet 360795 13160
compareDuplicateSet 432299 13183
compareDuplicateSet 402680 13239
compareDuplicateSet 570153 13325
compareDuplicateSet 342747 13660
compareDuplicateSet 366592 13980
compareDuplicateSet 411798 14030
compareDuplicateSet 1110923 14244
compareDuplicateSet 407057 14807
compareDuplicateSet 646720 15525
compareDuplicateSet 403279 16018
compareDuplicateSet 403888 16262
compareDuplicateSet 494437 16710
compareDuplicateSet 3423597 16859
compareDuplicateSet 401181 16928
compareDuplicateSet 991627 17181
compareDuplicateSet 427372 17406
compareDuplicateSet 539063 18201
compareDuplicateSet 521202 18278
compareDuplicateSet 453490 18321
compareDuplicateSet 443453 19050
compareDuplicateSet 423407 19313
compareDuplicateSet 517914 19355
compareDuplicateSet 431231 19582
compareDuplicateSet 607514 20497
compareDuplicateSet 431424 20596
compareDuplicateSet 436960 20654
compareDuplicateSet 449251 21203
compareDuplicateSet 1708334 22849
compareDuplicateSet 463380 23349
compareDuplicateSet 555266 23403
compareDuplicateSet 486559 23620
compareDuplicateSet 1908048 23811
compareDuplicateSet 484193 24286
compareDuplicateSet 792926 24732
compareDuplicateSet 766272 25318
compareDuplicateSet 1022669 25909
compareDuplicateSet 2324394 26226
compareDuplicateSet 836942 26404
compareDuplicateSet 995765 27060
compareDuplicateSet 3531265 28253
compareDuplicateSet 2579766 28265
